,title,publish,view_count,like_count
142,"The Pat McAfee Show | Thursday January 20th, 2022",2022-01-20T21:10:57Z,395645,6602
143,"The Pat McAfee Show | Wednesday January 19th, 2022",2022-01-19T20:55:28Z,425356,6001
144,"The Pat McAfee Show | Tuesday January 18th, 2022",2022-01-18T21:42:30Z,512383,7478
145,"The Pat McAfee Show | Monday January 17th, 2022",2022-01-17T20:44:22Z,476095,7910
146,"The Pat McAfee Show | Friday January 14th, 2022",2022-01-14T19:15:39Z,373452,5874
147,"The Pat McAfee Show | Thursday January 13th, 2022",2022-01-13T20:37:56Z,393301,5923
148,"The Pat McAfee Show | Wednesday January 12th, 2022",2022-01-12T20:50:37Z,412181,5764
149,"The Pat McAfee Show | Tuesday January 11th, 2022",2022-01-11T20:35:42Z,448072,8384
150,"The Pat McAfee Show | Monday January 10th, 2022",2022-01-10T20:15:46Z,553871,9358
151,"The Pat McAfee Show | Friday January 7th, 2022",2022-01-07T20:39:35Z,362565,5527
152,"The Pat McAfee Show | Thursday January 6th, 2022",2022-01-06T20:37:18Z,369285,6341
153,"The Pat McAfee Show | Wednesday January 5th, 2022",2022-01-05T20:46:31Z,315462,5092
154,"The Pat McAfee Show | Tuesday January 4th, 2022",2022-01-04T20:31:13Z,393962,7131
155,"The Pat McAfee Show | Monday January 3rd, 2022",2022-01-03T21:14:24Z,502765,7471
156,The Pat McAfee Show 2021 Year In Review,2021-12-31T20:00:01Z,96970,4482
157,"The Pat McAfee Show | Friday December 31st, 2021",2021-12-31T20:12:19Z,215798,4463
158,"The Pat McAfee Show | Thursday December 30th, 2021",2021-12-30T20:38:13Z,268981,4294
159,"The Pat McAfee Show | Wednesday December 29th, 2021",2021-12-29T21:20:04Z,286618,5788
160,"The Pat McAfee Show | Tuesday December 28th, 2021",2021-12-28T20:25:18Z,345739,6371
161,"The Pat McAfee Show | Monday December 27th, 2021",2021-12-27T21:32:07Z,356167,5883
162,"The Pat McAfee Show | Wednesday December 22nd, 2021",2021-12-22T20:45:27Z,371608,5177
163,"The Pat McAfee Show | Tuesday December 21st, 2021",2021-12-21T21:14:32Z,354154,6198
164,"The Pat McAfee Show | Monday December 20th, 2021",2021-12-20T20:36:59Z,368853,5644
165,"The Pat McAfee Show | Friday December 17th, 2021",2021-12-17T20:18:52Z,397725,7699
166,"The Pat McAfee Show | Thursday December 16th, 2021",2021-12-16T20:48:55Z,376048,6164
167,"The Pat McAfee Show | Wednesday December 15th, 2021",2021-12-15T21:15:46Z,262562,4519
168,"The Pat McAfee Show | Tuesday December 14th, 2021",2021-12-14T20:57:43Z,403841,6422
169,"The Pat McAfee Show | Monday December 13th, 2021",2021-12-13T20:52:13Z,384976,5900
170,"The Pat McAfee Show | Friday December 10th, 2021",2021-12-10T19:20:29Z,343425,6539
171,"The Pat McAfee Show | Thursday December 9th, 2021",2021-12-09T19:19:02Z,341533,9803
172,"The Pat McAfee Show | Wednesday December 8th, 2021",2021-12-08T20:48:31Z,262101,3895
173,"The Pat McAfee Show | Tuesday December 7th, 2021",2021-12-07T20:49:31Z,343717,5160
174,"The Pat McAfee Show | Monday December 6th, 2021",2021-12-06T21:14:28Z,351897,4956
175,"The Pat McAfee Show | Friday December 3rd, 2021",2021-12-03T19:33:05Z,265921,4043
176,"The Pat McAfee Show | Thursday December 2nd, 2021",2021-12-02T19:14:20Z,242178,3824
177,"The Pat McAfee Show | Wednesday December 1st, 2021",2021-12-01T20:49:20Z,279627,4666
178,"The Pat McAfee Show | Tuesday November 30th, 2021",2021-11-30T20:29:43Z,343767,6055
179,"The Pat McAfee Show | Monday November 29th, 2021",2021-11-29T21:14:51Z,327547,5369
180,"The Pat McAfee Show | Friday November 26th, 2021",2021-11-26T19:32:47Z,220120,3955
