,title,publish,view_count,like_count,day_of_week,day_name
272,"The Pat McAfee Show | Monday July 19th, 2021",2021-07-19 19:51:54+00:00,248147,3783,0,Monday
273,"The Pat McAfee Show | Friday July 16th, 2021",2021-07-16 19:40:51+00:00,332765,5567,4,Friday
274,"The Pat McAfee Show | Thursday July 15th, 2021",2021-07-15 19:36:48+00:00,196976,3064,3,Thursday
275,"The Pat McAfee Show | Wednesday July 14th, 2021",2021-07-14 20:18:28+00:00,183671,3114,2,Wednesday
276,"The Pat McAfee Show | Tuesday July 13th, 2021",2021-07-13 19:53:03+00:00,238707,3727,1,Tuesday
277,"The Pat McAfee Show | Monday July 12th, 2021",2021-07-12 20:10:51+00:00,301330,3459,0,Monday
278,"The Pat McAfee Show | Friday July 9th, 2021",2021-07-09 19:46:31+00:00,229105,3347,4,Friday
279,"The Pat McAfee Show | Thursday July 8th, 2021",2021-07-08 20:58:39+00:00,174126,3035,3,Thursday
280,"The Pat McAfee Show | Wednesday July 7th, 2021",2021-07-07 19:56:06+00:00,218623,3732,2,Wednesday
281,"The Pat McAfee Show | Tuesday July 6th, 2021",2021-07-06 20:01:17+00:00,216207,4045,1,Tuesday
282,"The Pat McAfee Show | Monday July 5th, 2021 (Re-upload)",2021-07-05 23:41:12+00:00,46653,612,0,Monday
283,"The Pat McAfee Show | Monday July 5th, 2021",2021-07-05 19:08:26+00:00,184770,3470,0,Monday
284,"The Pat McAfee Show | Thursday June 24th, 2021",2021-06-24 19:42:40+00:00,253152,3642,3,Thursday
285,"The Pat McAfee Show | Wednesday June 23rd, 2021",2021-06-23 20:04:54+00:00,225605,3284,2,Wednesday
286,"The Pat McAfee Show | Tuesday June 22nd, 2021",2021-06-22 19:36:34+00:00,203682,3329,1,Tuesday
287,"The Pat McAfee Show | Monday June 21st, 2021",2021-06-21 19:46:12+00:00,228730,3432,0,Monday
288,"The Pat McAfee Show | Friday June 18th, 2021",2021-06-18 19:17:11+00:00,187904,3281,4,Friday
289,"The Pat McAfee Show | Thursday June 17th, 2021",2021-06-17 19:27:39+00:00,187598,3017,3,Thursday
290,"The Pat McAfee Show | Wednesday June 16th, 2021",2021-06-16 20:00:25+00:00,199375,3096,2,Wednesday
291,"The Pat McAfee Show | Tuesday June 15th, 2021",2021-06-15 20:11:36+00:00,264765,3992,1,Tuesday
292,"The Pat McAfee Show | Monday June 14th, 2021",2021-06-14 20:31:03+00:00,555742,4557,0,Monday
293,"The Pat McAfee Show | Friday June 11th, 2021",2021-06-11 19:14:50+00:00,217641,3367,4,Friday
294,"The Pat McAfee Show | Thursday June 10th, 2021",2021-06-10 20:59:30+00:00,447617,4087,3,Thursday
295,"The Pat McAfee Show | Wednesday June 9th, 2021",2021-06-09 19:41:02+00:00,242899,3773,2,Wednesday
296,"The Pat McAfee Show | Tuesday June 8th, 2021",2021-06-08 19:48:49+00:00,249945,3724,1,Tuesday
297,"The Pat McAfee Show | Friday June 4th, 2021",2021-06-04 19:12:09+00:00,222436,3509,4,Friday
298,"The Pat McAfee Show | Thursday June 3rd, 2021",2021-06-03 19:40:10+00:00,223027,3531,3,Thursday
299,"The Pat McAfee Show | Wednesday June 2nd, 2021",2021-06-02 23:32:12+00:00,232113,3661,2,Wednesday
300,"The Pat McAfee Show | Tuesday June 1st, 2021",2021-06-01 20:12:09+00:00,249692,3974,1,Tuesday
301,"The Pat McAfee Show | Friday May 28th, 2021",2021-05-28 19:17:17+00:00,241100,3646,4,Friday
302,"The Pat McAfee Show | Thursday May 27th, 2021",2021-05-27 20:02:17+00:00,244144,3658,3,Thursday
303,"The Pat McAfee Show | Wednesday May 26th, 2021 (FULL SHOW)",2021-05-27 02:13:14+00:00,4766,81,3,Thursday
304,"The Pat McAfee Show | Wednesday May 26th, 2021",2021-05-26 20:31:42+00:00,214555,3802,2,Wednesday
305,"The Pat McAfee Show | Wednesday May 26th, 2021",2021-05-26 16:56:14+00:00,112815,1650,2,Wednesday
306,"The Pat McAfee Show | Tuesday May 25th, 2021",2021-05-25 20:24:33+00:00,605151,4711,1,Tuesday
307,"The Pat McAfee Show | Monday May 24th, 2021",2021-05-24 20:35:45+00:00,494427,4232,0,Monday
308,"The Pat McAfee Show | Friday May 21st, 2021",2021-05-21 19:40:44+00:00,235863,3652,4,Friday
309,"The Pat McAfee Show | Thursday May 20th, 2021",2021-05-20 19:43:13+00:00,247574,4100,3,Thursday
310,"The Pat McAfee Show | Wednesday May 19th, 2021",2021-05-19 20:10:34+00:00,260648,3911,2,Wednesday
311,"The Pat McAfee Show | Tuesday May 18th, 2021",2021-05-18 20:16:16+00:00,380508,4522,1,Tuesday
312,"The Pat McAfee Show | Monday May 17th, 2021",2021-05-17 19:59:11+00:00,282909,4358,0,Monday
313,"The Pat McAfee Show | Friday May 14th, 2021",2021-05-14 19:10:23+00:00,282425,4183,4,Friday
314,"The Pat McAfee Show | Thursday May 13th, 2021",2021-05-13 20:20:37+00:00,259482,4676,3,Thursday
315,"The Pat McAfee Show | Wednesday May 12th, 2021",2021-05-12 19:39:53+00:00,267318,4430,2,Wednesday
316,"The Pat McAfee Show | Tuesday May 11th, 2021",2021-05-11 19:59:49+00:00,270167,4163,1,Tuesday
317,"The Pat McAfee Show | Monday May 10th, 2021",2021-05-10 21:46:56+00:00,432995,4718,0,Monday
318,"The Pat McAfee Show | Friday May 7th, 2021",2021-05-07 19:35:18+00:00,305368,4699,4,Friday
319,"The Pat McAfee Show | Thursday May 6th, 2021",2021-05-06 19:53:07+00:00,283850,4911,3,Thursday
320,"The Pat McAfee Show | Wednesday May 5th, 2021",2021-05-05 19:36:35+00:00,294109,4896,2,Wednesday
321,"The Pat McAfee Show | Tuesday May 4th, 2021",2021-05-04 19:52:27+00:00,313637,5040,1,Tuesday
322,"The Pat McAfee Show | Monday May 3rd, 2021",2021-05-03 19:31:33+00:00,360939,6209,0,Monday
323,"The Pat McAfee Show | Friday April 30th, 2021",2021-04-30 19:42:11+00:00,407224,6188,4,Friday
324,"Pat McAfee's Draft Spectacular | April 29th, 2021",2021-04-30 04:30:08+00:00,1295791,33792,4,Friday
325,"The Pat McAfee Show | Thursday April 29th, 2021",2021-04-29 19:51:11+00:00,362353,6510,3,Thursday
326,"The Pat McAfee Show | Wednesday April 28th, 2021",2021-04-28 20:23:35+00:00,428734,4557,2,Wednesday
